--gold.txt-------ltp.txt----1
﻿1							      |	﻿
:本院							      |	1
认为，被告人						      |	:
							      >	本院
							      >	认为
							      >	，
							      >	被告人
吴永飞								吴永飞
驾驶								驾驶
机动								机动
车辆								车辆
在								在
公路								公路
上								上
行驶								行驶
，违反							      |	，
							      >	违反
交通								交通
运输								运输
管理								管理
法规								法规
，发生							      |	，
							      >	发生
交通								交通
事故								事故
致								致
被害人								被害人
死亡								死亡
，经							      |	，
							      >	经
交警								交警
大队								大队
交通								交通
事故								事故
认定书								认定书
认定								认定
被告							      |	被告人
人							      <
负								负
事故								事故
的								的
主要								主要
责任								责任
，其							      |	，
							      >	其
行为								行为
构成								构成
交通								交通
肇事							      |	肇事罪
罪							      |	，
，公诉							      |	公诉
机关								机关
指控								指控
被告							      |	被告人
人							      <
吴永飞								吴永飞
犯								犯
交通								交通
肇事								肇事
罪名								罪名
成立								成立
，本院							      |	，
							      >	本院
予以								予以
支持								支持
，应以							      |	，
							      >	应
							      >	以
交通								交通
肇事							      |	肇事罪
罪							      <
追究								追究
其								其
刑事								刑事
责任								责任
。、被告						      |	。
人							      |	、
							      >	被告人
在								在
事故								事故
发生								发生
后								后
驾车								驾车
逃逸								逃逸
，应							      |	，
							      >	应
依法								依法
在								在
三年							      |	三
							      >	年
以上								以上
七年							      |	七
							      >	年
以下								以下
有期徒刑							有期徒刑
幅度								幅度
内								内
判处								判处
其								其
刑罚								刑罚
。、鉴于						      |	。
被告							      |	、
人							      |	鉴于
							      >	被告人
当庭								当庭
自愿								自愿
认罪								认罪
，可							      |	，
							      >	可
酌定								酌定
从轻								从轻
处罚								处罚
；其							      |	；
							      >	其
另								另
赔偿								赔偿
了								了
被害							      |	被害人
人							      <
的								的
经济								经济
损失								损失
，取得							      |	，
							      >	取得
了								了
被害							      |	被害人
人							      <
亲属								亲属
的								的
谅解								谅解
，亦							      |	，
可							      |	亦可
从轻								从轻
处罚								处罚
。、公诉						      |	。
							      >	、
							      >	公诉
机关								机关
量刑								量刑
建议								建议
，符合							      |	，
							      >	符合
法律								法律
规定								规定
，本院							      |	，
							      >	本院
予以								予以
采纳								采纳
。、鉴于						      |	。
被告							      |	、
人							      |	鉴于
							      >	被告人
具有								具有
悔罪								悔罪
表现								表现
，可							      |	，
							      >	可
依法								依法
适用								适用
缓刑。据						      |	缓刑
上，依照						      |	。
							      >	据
							      >	上
							      >	，
							      >	依照
《								《
中华人民共和国刑法					      |	中华人民共和国
》第							      |	刑法
一百							      |	》
三十三							      |	第一百三十三
条								条
、第							      |	、
七十二							      |	第七十二
条								条
之								之
规定								规定
，判决							      |	，
							      >	判决
如下								如下
:								:
、被告							      |	、
人							      |	被告人
吴永飞								吴永飞
犯								犯
交通								交通
肇事							      |	肇事罪
罪							      |	，
，判处							      |	判处
有期徒刑							有期徒刑
三年							      |	三
，缓刑							      |	年
四年							      |	，
。、（缓刑						      |	缓刑
							      >	四
							      >	年
							      >	。
							      >	、
							      >	（
							      >	缓刑
考验								考验
期限，从						      |	期限
							      >	，
							      >	从
判决								判决
确定								确定
之								之
日								日
起								起
计算）。						      |	计算
							      >	）
							      >	。
INSERTIONS:	40
DELETIONS:	5
SUBSTITUTIONS:	57
NCHANGE:	102
NTRUTH:	171
NTEST:	206
TRUE WORDS RECALL:	0.637
TEST WORDS PRECISION:	0.529
--gold.txt-------ltp.txt----2
2								2
:								:
本院								本院
认为								认为
，被告人						      |	，
张某某							      |	被告人
							      >	张
							      >	某某
违反								违反
道路								道路
交通								交通
管理								管理
法规								法规
，造成							      |	，
							      >	造成
重大								重大
交通								交通
事故								事故
，致							      |	，
一人							      |	致
							      >	一
							      >	人
死亡								死亡
，二人							      |	，
							      >	二
							      >	人
受伤								受伤
，被告人						      |	，
张某某							      |	被告人
							      >	张
							      >	某某
的								的
行为								行为
已								已
构成								构成
交通								交通
肇事							      |	肇事罪
罪							      |	，
，公诉							      |	公诉
机关								机关
指控								指控
的								的
犯罪								犯罪
事实								事实
及								及
罪名								罪名
成立								成立
，本院							      |	，
							      >	本院
予以								予以
确认								确认
。、被告						      |	。
人							      |	、
张某某							      |	被告人
							      >	张
