201 v O O
被告人 m O O
王某甲 n O O
违反 nh S-Nh O
道路 v O O
交通 n O O
安全法 n O O
发生 n O O
重大 v O B-T
交通事故 a O E-T
致 n O O
一 v O B-N
人 m O I-N
死亡 n O E-N
负 v O O
事故 v O O
全部 n O B-D
责任 m O E-D
行为 n O O
构成 n O O
交通肇事罪 v O S-K
公诉机关 n O O
指控 n O O
罪名成立 v O O
依法 i O O
予以 d O O
支持 v O O
被告人 v O O
王某甲 n O O
明知 nh S-Nh O
他人 v O O
报案 r O O
而 v O O
在 c O O
现场 p O B-P
等待 nl O E-P
归案 v O O
后 v O O
如实 nd O B-P
供述 d O E-P
自己 v O O
罪行 r O O
具有 n O B-P
自首 v O I-P
情节 v O E-P
依法 n O O
予以 d O O
从轻处罚 v O S-P
被告人 v O O
王某甲 n O O
与 nh S-Nh O
被害人 p O O
家属 n O O
达成调解 n O B-P
协议 v O E-P
并 n O O
履行 c O O
完毕 v O O
取得 v O B-P
被害人 v O I-P
家属 n O I-P
谅解 n O E-P
可 v O O
对 v O O
酌定 p O O
从轻处罚 v O S-P
根据 v O O
被告人 p O O
王某甲 n O O
犯罪情节 nh S-Nh O
和 v O O
悔罪表现 c O O
可 v O O
对 v O O
适用 p O O
缓刑 v O O
辩护人 v O O
合理 n O O
辩护意见 a O O
予以采纳 v O O
被告人 v O O
王某甲 n O O
回到 nh S-Nh O
社区 v O O
后 n O O
应当 nd O O
接受 v O O
社区 v O O
矫正 n O O
遵守 v O O
法律法规 v O O
服从 n O O
监督 v O O
管理 v O O
接受教育 v O S-R
完成 v O B-R
公益劳动 v O E-R
做 v O O
一 v O O
名 m O O
有益 q O O
社会 a O O
公民 n O O
据此 n O O
之 d O O
规定 u O O
判决如下 n O S-R
被告人 v O O
王某甲 n O O
犯 nh S-Nh O
交通肇事罪 v O S-K
判处 n O S-R
有期徒刑 v O B-R
一年 i O E-R
缓刑 nt O B-R
一年 v O I-R
六个月 nt O E-R

202 v O O
被告人 m O O
陈某 n O O
违反 nh S-Nh O
道路 v O O
交通 n O O
安全 n O O
法规 a O O
以致 n O O
发生 c O O
重大 v O B-T
交通事故 a O E-T
致 n O O
一 v O B-N
人 m O I-N
死亡 n O E-N
负 v O O
事故 v O O
主要责任 n O S-D
行为 n O O
构成 n O O
交通肇事罪 v O S-K
公诉机关 n O O
指控 n O O
事实 v O O
罪名成立 n O O
本院 v O O
予以 r O O
确认 v O O
论罪 v O O
应 n O O
处 v O O
三 v O O
年 m O O
以下 q O O
有期徒刑 nd O O
或者 i O O
拘役 c O O
被告人 v O O
陈某 n O O
接 nh S-Nh O
民警 v O O
电话 n O O
传唤 n O O
后 v O O
自动 nd O O
归案 d O O
如实 v O B-P
供述 d O E-P
交通 v O O
肇事 n O O
事实 v O O
系自首 n O S-P
依法 v O O
可 d O O
从轻处罚 v O S-P
因 v O O
系 p O O
过失 v O O
犯罪 n O O
犯罪情节 v O B-P
较轻 n O E-P
与 d O O
被害方 p O O
就 n O O
民事 d O O
补偿 b O O
达成 v O B-P
协议 v O E-P
补偿 n O B-P
被害方 v O E-P
损失 n O O
取得 n O B-P
谅解 v O E-P
具有 v O B-P
悔罪表现 v O E-P
经 v O O
考察 n O O
对 v O O
适用 p O O
缓刑 v O O
没有 v O O
再 d O O
犯罪 d O O
危险 v O O
对 a O O
所 p O O
居住 u O O
社区 v O O
没有 n O O
重大 v O O
不良 a O O
影响 a O O
具备 v O O
社区 v O O
监管 n O O
条件 v O O
依法 n O O
可 d O O
宣告 v O O
缓刑 v O O
规定 v O O
判决如下 n O S-R
被告人 v O O
陈某 n O O
犯 nh S-Nh O
交通肇事罪 v O S-K
判处 n O S-R
有期徒刑 v O B-R
九个月 i O E-R
缓刑 nt O B-R
一年 v O E-R

203 v O O
被告人 m O O
于洪悦 n O O
酒后 nh S-Nh S-N
无 nt O B-N
证 v O I-N
驾驶 n O E-N
机动车 v O O
致 n O O
人 v O B-N
重伤 n O E-N
并 n O O
在 c O O
事故 p O O
中 n O O
负 nd O O
主要责任 v O S-D
行为 n O O
构成 n O O
交通肇事罪 v O S-K
公诉机关 n O O
指控 n O O
事实 v O O
及 n O O
罪名成立 c O O
依法 n O O
应 d O O
予 v O O
支持 v O O
被告人 v O O
于洪悦 n O O
赔偿 nh S-Nh B-P
被害人 v O E-P
经济损失 n O O
并 n O O
得到 c O B-P
被害人 v O I-P
谅解 n O E-P
依法 v O O
可 d O O
对 v O O
从轻处罚 p O S-P
并 v O O
适用 c O O
缓刑 v O O
根据 v O O
被告人 p O O
于洪悦 n O O
犯罪事实 nh S-Nh O
性质 v O O
情节 n O O
后果 n O O
和 n O O
对 c O O
社会 p O O
危害 n O O
程度 v O O
三 n O O
款 m O O
一 n O O
款 m O O
二 q O O
款 m O O
三 q O O
款 m O O
之 q O O
规定 u O O
判决如下 n O S-R
被告人 v O O
于洪悦犯 n O O
交通肇事罪 nh S-Nh S-K
判处 n O S-R
有期徒刑 v O B-R
一年 i O E-R
缓刑 nt O B-R
一年 v O E-R

204 v O O
被告人 m O O
李某某 n O O
发生 nh S-Nh O
重大事故 v O S-T
造成 n O O
一人 v O B-N
死亡 i O E-N
一人 v O B-N
受伤 n O E-N
行为 v O O
构成 n O O
交通肇事罪 v O S-K
公诉机关 n O O
指控 n O O
成立 v O O
对 v O O
被告人 p O O
李某某 n O O
应 nh S-Nh O
依法 v O O
惩处 d O O
被告人 v O O
犯罪 n O O
以后 v O O
自动 nd O B-P
投案 d O E-P
如实 v O B-P
供述 d O E-P
自己 v O O
罪行 r O O
系自首 n O S-P
依法 v O O
可 d O O
从轻处罚 v O S-P
被告人 v O O
李某某 n O O
与 nh S-Nh O
被害人 p O O
何某某 n O O
家属 nh S-Nh O
达成 n O B-P
死亡 v O I-P
赔偿 v O I-P
协议 v O E-P
并 n O O
取得 c O B-P
家属 v O I-P
谅解 n O E-P
可 v O O
酌情 v O O
从轻处罚 d O O
综合 v O O
上述 v O O
情节 b O O
故 n O O
对 c O O
被告人 p O O
李某某 n O O
依法 nh S-Nh O
从轻处罚 d O O
为 v O O
维护 p O O
道路 v O O
交通 n O O
安全 n O O
之 a O O
规定 u O O
判决如下 n O S-R
被告人 v O O
李某某 n O O
犯 nh S-Nh O
交通肇事罪 v O S-K
判处 n O S-R
有期徒刑 v O B-R
一年 i O E-R
缓刑 nt O B-R
二年 v O E-R

205 v O O
被告人 m O O
张某某 n O O
无 nh S-Nh B-N
证 v O I-N
驾驶 n O E-N
无 v O B-N
牌 v O I-N
摩托车 n O E-N
造成 n O O
重大 v O B-T
交通事故 a O E-T
致 n O O
一 v O B-N
人 m O I-N
死亡 n O E-N
行为 v O O
构成 n O O
交通肇事罪 v O S-K
公诉机关 n O O
指控 n O O
罪名成立 v O O
被告人 v O O
张某某 n O O
当庭 nh S-Nh B-P
自愿认罪 d O E-P
态度 v O B-P
较 n O I-P
好 d O E-P
并 a O O
能 c O O
积极 v O B-P
赔偿 a O I-P
被害人 v O E-P
经济损失 n O O
确 n O O
有 d O B-P
悔罪表现 v O E-P
可 v O O
酌情 v O O
从轻处罚 d O O
最高 v O O
人民法院 a O O
第项 i O O
之 n O O
规定 u O O
判决如下 n O S-R
被告人 v O O
张某某 n O O
犯 nh S-Nh O
交通肇事罪 v O S-K
判处 n O S-R
有期徒刑 v O B-R
一年 i O E-R
宣告 nt O O
缓刑 v O B-R
二年 v O E-R

206 v O O
被告人 m O O
陈某 n O O
驾驶 nh S-Nh O
机动车 v O O
在 n O O
道路 p O O
上 n O O
行驶 nd O O
左 v O O
转弯 nd O O
时 v O O
未 n O O
让 d O O
对 v O O
向 p O O
直行 p O O
车辆 j O O
先行 n O O
发生 v O O
致 v O O
一 v O B-N
人 m O I-N
死亡 n O E-N
重大 v O B-T
交通事故 a O E-T
负 n O O
事故 v O O
主要责任 n O S-D
行为 n O O
触犯 n O O
刑律 v O O
构成 n O O
交通肇事罪 v O S-K
公诉机关 n O O
指控 n O O
罪名成立 v O O
案 n O O
发 n O O
后 v O O
被告人 nd O O
陈某 n O O
能 nh S-Nh O
自动 v O B-P
投案 d O E-P
并 v O O
如实 c O B-P
供述 d O E-P
犯罪事实 v O O
系自首 v O S-P
依法 v O O
从轻处罚 d O O
庭 v O O
审 n O O
中 v O O
被告人 nd O O
陈某 n O O
能 nh S-Nh O
自愿认罪 v O S-P
在 v O O
案发 p O O
后 v O O
就 nd O O
被害人 d O O
家属 n O O
经济损失 n O O
能 n O O
达成 v O B-P
和解 v O I-P
协议 v O E-P
并 n O O
赔偿 c O O
人民币 v O O
19万 n O O
元 m O O
酌情 q O O
从轻处罚 d O S-P
关于 v O O
指定 p O O
辩护人 v O O
提出 n O O
被告人 v O O
具有 n O B-P
自首 v O I-P
情节 v O E-P
案 n O O
发 n O O
后 v O O
认罪 nd O B-P
态度 v O I-P
较 n O E-P
好 d O O
赔偿 a O O
部分 v O O
经济损失 n O O
与 n O O
被害人 p O O
家属 n O O
达成 n O B-P
和解 v O I-P
协议 v O E-P
请求 n O O
法庭 v O O
从轻处罚 n O O
辩护意见 v O O
与 n O O
事实 p O O
相符 n O O
本院 v O O
予以 r O O
采信 v O O
据此 n O O
结合 d O O
被告人 v O O
犯罪事实 n O O
性质 v O O
情节 n O O
社会 n O O
危害性 n O O
以及 n O O
认罪 c O O
态度 v O O
悔罪表现 n O O
等 v O O
之 u O O
规定 u O O
判决如下 n O S-R
被告人 v O O
陈某 n O O
犯 nh S-Nh O
交通肇事罪 v O S-K
判处 n O S-R
有期徒刑 v O B-R
一年 i O I-R
六个月 nt O E-R
缓刑 nt O B-R
二年 v O E-R
   
207 v O O
被告人 m O O
吕某 n O O
造成 nh S-Nh O
交通事故 v O S-T
致 n O O
一 v O B-N
人 m O I-N
死亡 n O E-N
负 v O O
事故 v O O
主要责任 n O S-D
行为 n O O
构成 n O O
交通肇事罪 v O S-K
公诉机关 n O O
指控 n O O
事实 v O O
清楚 n O O
证据 a O O
确实 n O O
充分 a O O
罪名成立 a O O
依法 v O O
应当 d O O
追究 v O O
被告人 v O O
刑事责任 n O O
鉴于案 n O O
发 n O O
后 v O O
被告人 nd O O
积极 n O B-P
施救 a O I-P
被害人 v O E-P
并 n O O
能 c O O
主动 v O B-P
投案 a O E-P
如实 v O B-P
供述 d O E-P
犯罪事实 v O O
是 v O B-P
自首 v O E-P
依法 v O O
予以 d O O
从轻处罚 v O O
被告人 v O O
赔偿 n O B-P
被害人 v O E-P
亲属 n O O
经济损失 n O O
取得 n O B-P
被害人 v O I-P
亲属 n O E-P
谅解 n O O
酌情 v O O
予以 d O O
从轻处罚 v O S-P
被告人 v O O
具有 n O B-P
悔罪表现 v O E-P
宣告 v O O
缓刑 v O O
对 v O O
所 p O O
居住 u O O
社区 v O O
没有 n O O
重大 v O O
不良 a O O
影响 a O O
可以 v O O
宣告 v O O
缓刑 v O O
第项 v O O
之 n O O
规定 u O O
判决如下 n O S-R
被告人 v O O
吕某 n O O
犯 nh S-Nh O
交通肇事罪 v O S-K
判处 n O S-R
有期徒刑 v O B-R
七个月 i O E-R
宣告 nt O O
缓刑 v O B-R
一年 v O E-R
   
208 v O O
被告人 m O O
梁某红 n O O
造成 nh S-Nh O
一人 v O B-N
死亡 i O E-N
交通事故 v O S-T
承担 n O O
事故 v O O
主要责任 n O S-D
行为 n O O
构成 n O O
交通肇事罪 v O S-K
公诉机关 n O O
指控 n O O
被告人 v O O
犯罪事实 n O O
清楚 v O O
证据 a O O
确实 n O O
充分 a O O
罪名成立 a O O
被告人 v O O
梁某红 n O O
归案 nh S-Nh O
后 v O O
能 nd O O
如实 v O B-P
供述 d O E-P
